Date,Open,High,Low,Close,Volume
2021-03-29,100.35,100.35,100.09,100.09,750417
2021-03-30,100.4,100.69,100.4,100.69,301753
2021-03-31,100.97,100.97,100.62,100.62,4300869
2021-04-01,100.97,100.97,100.49,100.49,3848455
2021-04-06,100.97,101.45,100.97,101.45,3268566
2021-04-07,100.97,101.45,100.97,101.45,2565783
2021-04-08,101.93,102.4,101.93,102.4,2725585
2021-04-09,101.93,103.35,101.93,103.35,650732
2021-04-12,102.88,102.88,102.88,102.88,10387588
2021-04-13,102.88,102.88,102.88,102.88,9216948
2021-04-14,102.88,102.88,101.93,101.93,8385724
2021-04-15,101.93,102.4,101.93,102.4,676911
2021-04-16,102.88,102.88,102.88,102.88,415035
2021-04-19,103.61,103.61,103.61,103.61,1646910
2021-04-20,103.61,103.61,103.61,103.61,1549498
2021-04-21,103.61,104.1,103.61,104.1,2676218
2021-04-22,104.59,107.52,104.59,107.52,4117723
2021-04-23,106.54,107.03,106.54,107.03,2354427
2021-04-26,106.54,106.54,106.54,106.54,13825808
2021-04-27,105.56,105.56,105.56,105.56,7716475
2021-04-28,104.59,105.56,104.59,105.56,6500213
2021-04-29,105.56,106.05,105.56,106.05,619410
2021-04-30,106.54,106.54,106.54,106.54,605761
2021-05-03,106.64,106.64,106.48,106.48,575856
2021-05-04,106.54,106.54,106.05,106.05,1100801
2021-05-05,104.59,106.05,104.59,106.05,768514
2021-05-06,105.56,106.54,105.56,106.54,861051
2021-05-07,106.54,106.54,106.54,106.54,2239816
2021-05-10,105.56,106.05,105.56,106.05,326770
2021-05-11,105.56,105.56,105.56,105.56,2746453
2021-05-12,104.59,106.05,104.59,106.05,457954
2021-05-13,106.05,106.05,106.05,106.05,0
2021-05-14,108.01,108.01,106.54,106.54,1953989
2021-05-17,106.54,106.54,106.54,106.54,379734
2021-05-18,106.54,106.54,106.54,106.54,4449510
2021-05-19,105.56,106.54,105.56,106.54,1331414
2021-05-20,106.54,107.03,106.54,107.03,1189003
2021-05-21,108.01,108.5,108.01,108.5,578489
2021-05-24,108.5,108.5,108.5,108.5,0
2021-05-25,106.54,108.98,106.54,108.98,1223394
2021-05-26,108.98,109.47,108.98,109.47,1816446
2021-05-27,108.01,108.5,108.01,108.5,762744
2021-05-28,108.01,108.5,108.01,108.5,284014
2021-05-31,108.48,108.48,108.22,108.22,112361
2021-06-01,108.98,108.98,108.5,108.5,218824
2021-06-02,108.01,108.5,108.01,108.5,404116
2021-06-03,108.01,109.47,108.01,109.47,322155
2021-06-04,109.96,109.96,109.96,109.96,817397
2021-06-07,109.96,110.45,109.96,110.45,160799
2021-06-08,109.96,110.45,109.96,110.45,483076
2021-06-09,109.96,110.94,109.96,110.94,497213
2021-06-10,111.92,111.92,111.43,111.43,410894
2021-06-11,110.94,111.43,110.94,111.43,1440339
2021-06-14,110.94,111.43,110.94,111.43,1304503
2021-06-15,110.94,111.92,110.94,111.92,1526740
2021-06-16,111.92,112.41,111.92,112.41,1380906
2021-06-17,111.92,112.41,111.92,112.41,723603
2021-06-18,113.87,113.87,112.89,112.89,2261806
2021-06-21,113.87,113.87,112.89,112.89,349012
2021-06-22,112.89,113.38,112.89,113.38,711525
2021-06-23,112.89,113.38,112.89,113.38,597779
2021-06-24,112.89,113.38,112.89,113.38,557392
2021-06-25,112.89,113.38,112.89,113.38,938101
2021-06-28,112.89,113.38,112.89,113.38,1497595
2021-06-29,112.89,113.38,112.89,113.38,347482
2021-06-30,113.87,113.87,113.38,113.38,373215
2021-07-01,112.89,112.89,112.89,112.89,988042
2021-07-02,112.89,112.89,112.89,112.89,430088
2021-07-05,112.89,112.89,112.41,112.41,244144
2021-07-06,112.89,112.89,112.41,112.41,225021
2021-07-07,111.92,112.89,111.92,112.89,1154030
2021-07-08,112.89,112.89,112.89,112.89,126171
2021-07-09,112.89,112.89,112.89,112.89,515467
2021-07-12,111.92,112.89,111.92,112.89,1173186
2021-07-13,112.89,112.89,112.89,112.89,720069
2021-07-14,112.89,112.89,112.89,112.89,382668
2021-07-15,112.89,112.89,112.41,112.41,264764
2021-07-16,111.92,112.41,111.92,112.41,216145
2021-07-19,111.92,113.38,111.92,113.38,1108476
2021-07-20,112.89,113.38,112.89,113.38,575034
2021-07-21,112.89,113.38,112.89,113.38,526599
2021-07-22,112.89,112.89,111.92,111.92,2125646
2021-07-23,111.92,112.41,111.92,112.41,462490
2021-07-26,112.89,112.89,112.41,112.41,464629
2021-07-27,111.92,111.92,111.92,111.92,381399
2021-07-28,111.92,111.92,111.43,111.43,342955
2021-07-29,110.94,110.94,110.45,110.45,979029
2021-07-30,110.94,111.43,110.94,111.43,1233720
2021-08-02,111.92,111.92,111.92,111.92,634057
2021-08-03,111.92,111.92,111.92,111.92,465022
2021-08-04,111.92,111.92,110.94,110.94,357485
2021-08-05,110.94,110.94,110.45,110.45,697992
2021-08-06,110.94,110.94,110.45,110.45,1367496
2021-08-09,109.96,110.94,109.96,110.94,684532
2021-08-10,110.94,111.43,110.94,111.43,244380
2021-08-11,110.94,111.43,110.94,111.43,428515
2021-08-12,110.94,110.94,110.94,110.94,243248
2021-08-13,110.94,111.43,110.94,111.43,682692
2021-08-16,111.92,111.92,111.92,111.92,583672
2021-08-17,111.92,112.89,111.92,112.89,586835
2021-08-18,112.89,113.38,112.89,113.38,862677
2021-08-19,112.89,113.38,112.89,113.38,1537033
2021-08-20,112.89,113.87,112.89,113.87,1526741
2021-08-23,113.87,113.87,113.87,113.87,630367
2021-08-24,113.87,113.87,113.38,113.38,473636
2021-08-25,112.89,112.89,112.41,112.41,325153
2021-08-26,111.92,112.41,111.92,112.41,424888
2021-08-27,112.89,113.38,112.89,113.38,818334
2021-08-30,113.66,114.32,113.66,114.32,1169722
2021-08-31,113.87,113.87,113.38,113.38,718615
2021-09-01,112.89,113.38,112.89,113.38,481465
2021-09-02,112.89,112.89,112.89,112.89,3564215
2021-09-03,112.89,112.89,112.89,112.89,646049
2021-09-06,111.92,113.38,111.92,113.38,276530
2021-09-07,112.89,113.38,112.89,113.38,1438931
2021-09-08,112.89,112.89,112.41,112.41,417484
